trayectoria_id,figura,punto,x_m,y_m
19,Cruz irregular v2,127,0.19889,-0.04395
19,Cruz irregular v2,128,0.1976,-0.04395
19,Cruz irregular v2,129,0.19632,-0.04395
19,Cruz irregular v2,130,0.19503,-0.04395
19,Cruz irregular v2,131,0.19375,-0.04395
19,Cruz irregular v2,132,0.19246,-0.04395
19,Cruz irregular v2,133,0.19117,-0.04395
19,Cruz irregular v2,134,0.18989,-0.04395
19,Cruz irregular v2,135,0.1886,-0.04395
19,Cruz irregular v2,136,0.1886,-0.04266
19,Cruz irregular v2,137,0.1886,-0.04138
19,Cruz irregular v2,138,0.1886,-0.04009
19,Cruz irregular v2,139,0.1886,-0.0388
19,Cruz irregular v2,140,0.1886,-0.03752
19,Cruz irregular v2,141,0.1886,-0.03623
19,Cruz irregular v2,142,0.1886,-0.03495
19,Cruz irregular v2,143,0.1886,-0.03366
19,Cruz irregular v2,144,0.1886,-0.03237
19,Cruz irregular v2,145,0.1886,-0.03109
19,Cruz irregular v2,146,0.1886,-0.0298
19,Cruz irregular v2,147,0.1886,-0.02852
19,Cruz irregular v2,148,0.1887,-0.02733
19,Cruz irregular v2,149,0.18999,-0.02733
19,Cruz irregular v2,150,0.19127,-0.02733
19,Cruz irregular v2,151,0.19256,-0.02733
19,Cruz irregular v2,152,0.19384,-0.02733
19,Cruz irregular v2,153,0.19513,-0.02733
19,Cruz irregular v2,154,0.19642,-0.02733
19,Cruz irregular v2,155,0.1977,-0.02733
19,Cruz irregular v2,156,0.19899,-0.02733
19,Cruz irregular v2,157,0.20027,-0.02733
19,Cruz irregular v2,158,0.20156,-0.02733
19,Cruz irregular v2,159,0.20285,-0.02733
19,Cruz irregular v2,160,0.20413,-0.02733
19,Cruz irregular v2,161,0.20542,-0.02733
19,Cruz irregular v2,162,0.2067,-0.02733
19,Cruz irregular v2,163,0.20799,-0.02733
19,Cruz irregular v2,164,0.20923,-0.02728
19,Cruz irregular v2,165,0.20923,-0.02599
19,Cruz irregular v2,166,0.20923,-0.02471
19,Cruz irregular v2,167,0.20923,-0.02342
19,Cruz irregular v2,168,0.20923,-0.02214
19,Cruz irregular v2,169,0.20923,-0.02085
19,Cruz irregular v2,170,0.20923,-0.01956
19,Cruz irregular v2,171,0.20923,-0.01828
19,Cruz irregular v2,172,0.20923,-0.01699
19,Cruz irregular v2,173,0.20923,-0.01571
19,Cruz irregular v2,174,0.20923,-0.01442
19,Cruz irregular v2,175,0.20923,-0.01313
19,Cruz irregular v2,176,0.20923,-0.01185
19,Cruz irregular v2,177,0.20923,-0.01056
19,Cruz irregular v2,178,0.20923,-0.00928
19,Cruz irregular v2,179,0.20923,-0.00799
